城市,市场容量
石家庄市,5580
济宁市,5301
唐山市,4786
成都市,2999
宁波市,2756
宜春市,2530
深圳市,2732
青岛市,3256
衢州市,2205
武汉市,1986
邢台市,1944
聊城市,1926
焦作市,1908
菏泽市,1874
长春市,1776
重庆市,1672
杭州市,1616
临沂市,1513
绥化市,1454
厦门市,1410
邯郸市,1385
蚌埠市,1368
广州市,1353
营口市,1351
乌鲁木齐市,1348
徐州市,1327
哈密市,1302
北京市,1301
天津市,1300
银川市,1251
潍坊市,1219
南宁市,1210
郑州市,1169
毕节市,1155
松原市,1122
钦州市,1102
天津市,1101
绵阳市,1094
乐山市,1091
中卫市,1086
吕梁市,1085
连云港市,1036
苏州市,1005
沧州市,997
哈尔滨市,989
合肥市,983
上海市,977
运城市,964
南京市,958
商丘市,955
昌吉回族自治州,941
晋中市,833
承德市,825
枣庄市,810
佳木斯市,804
大同市,796
朔州市,789
鞍山市,785
安阳市,778
濮阳市,761
长沙市,750
泰安市,744
阿克苏地区,741
张家口市,738
贵阳市,733
赤峰市,726
新乡市,721
宿州市,720
济南市,717
周口市,713
阜阳市,703
南阳市,694
牡丹江市,682
自治区直辖县级行政区划,681
雅安市,677
德州市,666
娄底市,663
盐城市,661
榆林市,632
淮安市,627
葫芦岛市,623
西安市,622
滨州市,618
扬州市,616
喀什地区,611
秦皇岛市,607
烟台市,604
石嘴山市,591
崇左市,584
新余市,578
晋城市,575
柳州市,572
伊犁哈萨克自治州,568
固原市,566
内江市,563
巴彦淖尔市,561
太原市,558
滁州市,552
淄博市,547
鄂尔多斯市,540
九江市,533
锦州市,529
包头市,499
防城港市,491
襄阳市,488
日照市,482
渭南市,479
淮北市,473
保定市,470
阳泉市,467
临汾市,461
昆明市,452
长治市,451
驻马店市,449
福州市,449
达州市,449
沈阳市,448
亳州市,448
萍乡市,443
曲靖市,443
宿迁市,441
洛阳市,440
宜宾市,439
金华市,436
攀枝花市,435
南昌市,432
三门峡市,431
百色市,414
泸州市,406
嘉兴市,403
玉林市,402
郴州市,401
六盘水市,399
德阳市,398
白银市,384
贵港市,381
衡阳市,379
佛山市,378
吉安市,373
清远市,370
齐齐哈尔市,369
朝阳市,365
巴音郭楞蒙古自治州,365
梧州市,363
惠州市,359
乌海市,355
四平市,340
漯河市,340
龙岩市,338
平顶山市,335
抚州市,333
通辽市,327
遂宁市,326
漳州市,324
北海市,322
咸阳市,318
西宁市,316
常州市,315
台州市,313
遵义市,308
鹤壁市,307
贺州市,307
六安市,304
玉溪市,302
忻州市,300
大连市,297
南平市,291
赣州市,291
常德市,290
黔西南布依族苗族自治州,280
许昌市,276
鸡西市,272
开封市,267
三明市,265
大庆市,263
和田地区,262
南充市,259
吐鲁番市,254
泉州市,250
宜昌市,248
益阳市,237
湛江市,236
永州市,234
兴安盟,229
宁德市,229
吉林市,227
延边朝鲜族自治州,227
南通市,223
铁岭市,219
双鸭山市,217
吴忠市,215
云浮市,215
黑河市,207
大连市,207
宣城市,206
咸宁市,204
芜湖市,203
乌兰察布市,198
保山市,193
威海市,192
平凉市,191
来宾市,190
铜川市,189
黄冈市,185
自贡市,185
辽阳市,181
济源市,179
韶关市,178
荆门市,177
省直辖县级行政区划,175
广州市,175
丹东市,174
广安市,174
绍兴市,173
河池市,171
上饶市,170
衡水市,169
呼和浩特市,169
海西蒙古族藏族自治州,167
克孜勒苏柯尔克孜自治州,167
无锡市,166
株洲市,166
白城市,164
河源市,161
荆州市,160
茂名市,160
兰州市,159
丽水市,154
邵阳市,147
廊坊市,145
凉山彝族自治州,144
眉山市,143
巴中市,138
桂林市,138
江门市,138
东营市,135
安顺市,133
楚雄彝族自治州,131
湘潭市,130
阜新市,128
锡林郭勒盟,127
梅州市,127
黔南布依族苗族自治州,126
怀化市,125
抚顺市,123
孝感市,123
汉中市,121
广元市,120
日喀则市,119
黄石市,119
辽源市,117
宝鸡市,117
泰州市,116
池州市,116
恩施土家族苗族自治州,114
岳阳市,114
肇庆市,114
克拉玛依市,110
七台河市,108
酒泉市,106
淮南市,104
红河哈尼族彝族自治州,102
通化市,100
普洱市,100
延安市,99
本溪市,98
湖州市,98
鹰潭市,91
镇江市,89
大理白族自治州,88
白山市,86
盘锦市,86
马鞍山市,86
武威市,80
金昌市,77
博尔塔拉蒙古自治州,71
儋州市,71
文山壮族苗族自治州,70
铜陵市,69
温州市,68
伊春市,65
安庆市,64
昭通市,61
东莞市,111
塔城地区,59
呼伦贝尔市,57
舟山市,56
海口市,56
十堰市,54
张掖市,53
山南市,48
景德镇市,48
阳江市,48
资阳市,46
安康市,45
湘西土家族苗族自治州,44
信阳市,43
阿勒泰地区,43
西双版纳傣族自治州,40
随州市,39
中山市,33
拉萨市,31
张家界市,31
揭阳市,31
珠海市,30
阿拉善盟,28
莆田市,28
汕头市,27
阿坝藏族羌族自治州,27
黔东南苗族侗族自治州,26
陇南市,25
嘉峪关市,24
汕头市,21
林芝市,20
海东市,19
黄山市,17
省直辖县级行政区划,17
商洛市,16
庆阳市,15
鄂州市,15
德宏傣族景颇族自治州,15
昌都市,14
定西市,14
临夏回族自治州,13
惠州市,13
铜仁市,12
丽江市,11
鹤岗市,8
临沧市,8
大兴安岭地区,7
那曲市,7
揭阳市,7
三亚市,7
天水市,6
汕尾市,5
海南藏族自治州,4
海北藏族自治州,3
甘孜藏族自治州,2
宁东区,1
汕尾市,1
迪庆藏族自治州,1
怒江傈僳族自治州,1
