营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数,26年年度预算
长江大营,安徽连,安庆市,113.0,,,,,
长江大营,安徽连,池州市,214.0,,,,,
长江大营,安徽连,滁州市,808.0,,,,,
长江大营,安徽连,合肥市,1282.0,安徽连,181.0,13%,3人,550
长江大营,安徽连,黄山市,26.0,,,,,
长江大营,安徽连,马鞍山市,167.0,,,,,
长江大营,安徽连,铜陵市,129.0,,,,,
长江大营,安徽连,芜湖市,363.0,,,,,
长江大营,安徽连,宣城市,278.0,,,,,
长江大营,江西连,抚州市,514.0,,,,,
长江大营,江西连,赣州市,494.0,,,,,
长江大营,江西连,吉安市,572.0,,,,,
长江大营,江西连,景德镇市,456.0,,,,,
长江大营,江西连,九江市,658.0,,,,,
长江大营,江西连,南昌市,501.0,,,,,
长江大营,江西连,萍乡市,460.0,,,,,
长江大营,江西连,上饶市,231.0,,,,,
长江大营,江西连,新余市,642.0,,,,,
长江大营,江西连,宜春市,2990.0,江西连,291.0,15%,4人,1550
长江大营,江西连,鹰潭市,137.0,,,,,
长江大营,荆州连,常德市,304.0,,,,,
长江大营,荆州连,鄂州市,25.0,,,,,
长江大营,荆州连,恩施土家族苗族自治州,138.0,,,,,
长江大营,荆州连,黄冈市,242.0,,,,,
长江大营,荆州连,黄石市,143.0,,,,,
长江大营,荆州连,荆门市,221.0,,,,,
长江大营,荆州连,荆州市,270.0,荆州连,457.0,22%,5人,1000
长江大营,荆州连,潜江市,0.0,,,,,
长江大营,荆州连,省直辖县级行政区划,204.0,,,,,
长江大营,荆州连,天门市,0.0,,,,,
长江大营,荆州连,武汉市,2601.0,,,,,
长江大营,荆州连,仙桃市,0.0,,,,,
长江大营,荆州连,咸宁市,230.0,,,,,
长江大营,荆州连,孝感市,131.0,,,,,
长江大营,荆州连,宜昌市,370.0,,,,,
长江大营,荆州连,益阳市,269.0,,,,,
长江大营,荆州连,岳阳市,150.0,,,,,
长江大营,荆州连,张家界市,38.0,,,,,
长江大营,重庆加强连,巴中市,154.0,,,,,
长江大营,重庆加强连,达州市,757.0,,,,,
长江大营,重庆加强连,广安市,189.0,,,,,
长江大营,重庆加强连,重庆市,2654.0,重庆加强连,159.0,10%,5人,500
长江大营,荆州连,省直辖县级行政区划,61.0,,,,,
